dbms1,count(*)
DB2,371
DB2,371
ACCESS,1
DB2,371
DB2,371
DB2,371
IMSDB2,2
DB2,371
DB2,371
DB2,371
Oracle,28
DB2,371
DB2,371
Oracle,28
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Yes,3
DB2,371
DB2,371
DB2,371
Interactive,26
DB2,371
DB2,371
DB2,371
IMS,18
IMS,18
"IMS/DB,DC",3
DB2,371
Interactive,26
DB2,371
DB2,371
"SQL Server",3
DB2,371
Interactive,26
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Interactive,26
Oracle,28
DB2,371
Oracle,28
DB2,371
DB2,371
DB2,371
DB2,371
Interactive,26
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
IMSDB2,2
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
IMS,18
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
"Oracle,SQL Server",1
IMS,18
DB2,371
IMS,18
DB2,371
DB/400,1
DB2,371
Interactive,26
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
"MS SQL Server 2005",1
Oracle,28
Oracle,28
DB2,371
DB2,371
VSAM,1
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
"MS SQL",1
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
"IMS/DB,DC",3
DB2,371
DB2,371
Notes,1
DB2,371
DB2,371
Oracle,28
DB2,371
Interactive,26
DB2,371
DB2/400,4
DB2,371
Oracle,28
DB2,371
Oracle,28
Interactive,26
DB2IMS,3
IMS,18
DB2,371
No,2
DB2,371
RDB400,1
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Oracle,28
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Interactive,26
DB2,371
DB2,371
Oracle,28
DB2,371
Interactive,26
DB2,371
IMS,18
DB2,371
ACCESSDB2IMS,1
DB2,371
DB2,371
DB2IMS,3
DB2,371
Oracle,28
DB2,371
DB2,371
IMS,18
DB2,371
DB2IMS,3
DB2,371
"Oracle 6",1
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Interactive,26
"SQL Server",3
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Interactive,26
"SQL Server 6.5",1
DB2,371
IMS,18
DB2,371
Interactive,26
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Oracle,28
"IMSDB2LOTUS NOTES",1
DB2,371
"Oracle 8i 8.1.6",1
IMS,18
DB2,371
DB2,371
DB2,371
HiRDB,1
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Interactive,26
Batch,3
DB2,371
Oracle,28
DB2,371
DB2,371
DB2,371
DB2,371
OBJECTSTOR,1
IMS,18
DB2,371
DB2,371
DB2,371
Interactive,26
DB2,371
Interactive,26
DB2,371
DB2,371
Oracle,28
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Yes,3
DB2,371
No,2
Oracle,28
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2VSAMDL/I,1
DB2,371
"Oracle 8.1",1
ISAM,1
DB2VSAM,2
DB2,371
DB2,371
DB2,371
Oracle,28
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
"DB2 UDB",1
DB2VSAM,2
DB2,371
DB2/400,4
DB2,371
DB2,371
DB2,371
ACCESSIMSDB2,1
DB2,371
DB2,371
IMS,18
IMS,18
DB2,371
DB2,371
IMS,18
Oracle,28
"Oracle 8.1.6",1
DB2,371
DB2,371
DB2,371
Interactive,26
DB2,371
DB2,371
Batch,3
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Interactive,26
"Oracle 7.3",2
DB2,371
DB2,371
Interactive,26
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
"Oracle 7.3",2
DB2,371
DB2,371
DB2,371
DB2,371
Interactive,26
DB2,371
Oracle,28
Interactive,26
DB2/400,4
DB2,371
DB2,371
DB2,371
IMS,18
DB2,371
DB2,371
DB2,371
Yes,3
DB2,371
DB2,371
DB2,371
DB2,371
"Oracle 8",2
VMS,1
DB2,371
DB2,371
DB2,371
DB2,371
Interactive,26
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
"SQL Server 2000",1
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Solid,1
IMS,18
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
IMS,18
DB2,371
DB2,371
DB2,371
Interactive,26
"Oracle 8.05",1
Oracle,28
Oracle,28
DB2,371
IMS,18
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Oracle,28
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Oracle,28
Oracle,28
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Interactive,26
DB2,371
Interactive,26
Oracle,28
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
SYBASE,1
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Oracle,28
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
"Oracle 8",2
DB2,371
"SQL Server",3
DB2,371
DB2,371
DB2,371
"SYBASE V10",1
DB2,371
DB2,371
DB2,371
Batch,3
Interactive,26
DB2,371
Oracle,28
"SYBASE SQL Anywhere",1
DB2,371
DB2,371
DB2,371
DB2,371
DB2/400,4
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
DB2,371
Oracle,28
DB2,371
DB2,371
"IMS/DB,DC",3
