pryidlngtyp,lngtyp
10003,3GL
10019,3GL
10104,4GL
10267,4GL
10388,4GL
10496,3GL
10566,4GL
10621,3GL
10632,3GL
10649,4GL
10667,4GL
10750,3GL
10896,3GL
10929,3GL
10960,3GL
10997,3GL
11044,3GL
11055,3GL
11083,4GL
11101,4GL
11113,4GL
11132,3GL
11251,3GL
11339,3GL
11389,3GL
11436,3GL
11493,3GL
11527,3GL
11569,4GL
11714,ApG
11755,4GL
11763,3GL
11785,3GL
11993,3GL
12019,3GL
12038,3GL
12060,4GL
12082,4GL
12097,3GL
12146,4GL
12152,3GL
12153,4GL
12174,3GL
12175,3GL
12181,3GL
12202,3GL
12204,3GL
12305,3GL
12344,3GL
12365,4GL
12377,3GL
12410,4GL
12529,4GL
12573,3GL
12667,3GL
12684,3GL
12712,3GL
12728,3GL
12888,3GL
13137,3GL
13169,3GL
13217,3GL
13246,3GL
13273,3GL
13303,3GL
13367,3GL
13403,3GL
13597,3GL
13652,4GL
13680,3GL
13712,3GL
13795,4GL
13884,3GL
13896,3GL
13915,3GL
13981,3GL
14078,3GL
14091,4GL
14157,3GL
14228,3GL
14257,3GL
14289,3GL
14374,3GL
14410,ApG
14422,3GL
14439,ApG
14466,4GL
14483,3GL
14494,3GL
14544,3GL
14712,3GL
14715,3GL
14758,3GL
14764,3GL
14780,3GL
14879,3GL
14892,3GL
14959,4GL
14968,3GL
14972,3GL
15008,3GL
15009,3GL
15047,4GL
15123,3GL
15149,3GL
15197,3GL
15211,3GL
15240,3GL
15351,3GL
15371,3GL
15402,3GL
15409,3GL
15436,4GL
15489,3GL
15561,3GL
15593,3GL
15622,3GL
15670,3GL
15689,4GL
15724,3GL
15732,3GL
15733,3GL
15745,3GL
15823,ApG
15850,3GL
15947,3GL
16165,ApG
16185,4GL
16190,ApG
16191,3GL
16196,3GL
16232,3GL
16330,3GL
16431,3GL
16439,3GL
16466,3GL
16467,4GL
16525,3GL
16534,3GL
16645,4GL
16682,4GL
16685,3GL
16701,3GL
16766,3GL
16771,3GL
16819,3GL
16843,3GL
16875,3GL
16886,3GL
16889,3GL
16932,3GL
16963,3GL
16997,3GL
17078,3GL
17117,4GL
17172,4GL
17184,3GL
17222,3GL
17246,3GL
17279,4GL
17287,3GL
17308,3GL
17429,3GL
17455,3GL
17498,3GL
17584,3GL
17594,4GL
17603,3GL
17639,4GL
17663,3GL
17743,3GL
17758,3GL
17872,3GL
17903,3GL
17990,3GL
17995,3GL
18012,3GL
18015,3GL
18044,3GL
18088,3GL
18119,3GL
18310,3GL
18346,3GL
18361,3GL
18387,3GL
18410,3GL
18417,3GL
18427,3GL
18428,3GL
18438,3GL
18442,3GL
18459,3GL
18498,3GL
18638,3GL
18663,3GL
18697,4GL
18735,3GL
18746,3GL
18808,3GL
18890,3GL
18917,4GL
18945,3GL
18961,3GL
19040,3GL
19079,3GL
19114,3GL
19122,3GL
19136,3GL
19148,3GL
19154,3GL
19189,3GL
19297,3GL
19303,3GL
19403,3GL
19410,3GL
19456,3GL
19461,3GL
19490,3GL
19491,3GL
19594,4GL
19659,3GL
19660,3GL
19671,3GL
19680,3GL
19730,4GL
19757,3GL
19799,3GL
19815,3GL
19881,3GL
19885,3GL
19905,3GL
20082,4GL
20093,3GL
20106,3GL
20115,3GL
20123,3GL
20177,3GL
20236,3GL
20352,3GL
20398,4GL
20419,3GL
20477,3GL
20538,3GL
20614,3GL
20758,3GL
20776,3GL
20837,3GL
20887,3GL
20892,ApG
21078,4GL
21107,3GL
21114,3GL
21151,3GL
21180,3GL
21195,3GL
21198,3GL
21261,3GL
21317,3GL
21370,3GL
21394,3GL
21399,4GL
21420,3GL
21429,3GL
21433,3GL
21467,4GL
21496,3GL
21522,3GL
21552,4GL
21609,4GL
21623,3GL
21668,4GL
21775,3GL
21824,3GL
21859,4GL
21915,3GL
22063,3GL
22274,3GL
22342,3GL
22361,3GL
22425,3GL
22465,4GL
22471,3GL
22495,3GL
22507,3GL
22638,3GL
22727,ApG
22776,3GL
22886,4GL
22893,4GL
22922,3GL
22951,3GL
22957,3GL
23066,3GL
23110,3GL
23122,3GL
23182,3GL
23317,3GL
23467,3GL
23518,4GL
23538,3GL
23559,3GL
23565,3GL
23573,3GL
23656,3GL
23687,4GL
23698,3GL
23708,4GL
23712,3GL
23741,3GL
23766,3GL
23777,3GL
23784,3GL
23972,3GL
24009,3GL
24042,3GL
24043,3GL
24125,3GL
24135,3GL
24141,3GL
24151,3GL
24210,3GL
24366,3GL
24407,4GL
24457,3GL
24505,3GL
24543,3GL
24573,3GL
24615,3GL
24629,3GL
24633,3GL
24661,3GL
24851,3GL
24866,3GL
24889,3GL
24937,3GL
25053,3GL
25120,3GL
25126,4GL
25151,3GL
25158,3GL
25213,3GL
25268,3GL
25270,3GL
25310,3GL
25336,3GL
25343,3GL
25346,3GL
25438,3GL
25461,3GL
25509,3GL
25516,3GL
25543,4GL
25618,3GL
25641,4GL
25786,3GL
25885,3GL
25916,3GL
25926,3GL
25931,3GL
25975,4GL
25979,3GL
26007,3GL
26047,3GL
26096,3GL
26105,3GL
26137,3GL
26156,3GL
26187,3GL
26199,3GL
26274,3GL
26284,3GL
26290,3GL
26315,3GL
26339,ApG
26391,3GL
26457,3GL
26470,3GL
26513,3GL
26537,3GL
26575,3GL
26604,3GL
26738,3GL
26765,3GL
26888,3GL
26895,3GL
26925,3GL
26994,3GL
26997,4GL
27060,3GL
27151,3GL
27171,4GL
27245,3GL
27357,3GL
27361,3GL
27423,3GL
27574,3GL
27727,3GL
27743,3GL
27745,3GL
27858,3GL
