pryidlngtyp,lngtyp2,conteo2lngtyp
10003,3GL,330
10019,3GL,330
10104,4GL,61
10267,4GL,61
10388,4GL,61
10496,3GL,330
10566,4GL,61
10621,3GL,330
10632,3GL,330
10649,4GL,61
10667,4GL,61
10750,3GL,330
10896,3GL,330
10929,3GL,330
10960,3GL,330
10997,3GL,330
11044,3GL,330
11055,3GL,330
11083,4GL,61
11101,4GL,61
11113,4GL,61
11132,3GL,330
11251,3GL,330
11339,3GL,330
11389,3GL,330
11436,3GL,330
11493,3GL,330
11527,3GL,330
11569,4GL,61
11714,ApG,9
11755,4GL,61
11763,3GL,330
11785,3GL,330
11993,3GL,330
12019,3GL,330
12038,3GL,330
12060,4GL,61
12082,4GL,61
12097,3GL,330
12146,4GL,61
12152,3GL,330
12153,4GL,61
12174,3GL,330
12175,3GL,330
12181,3GL,330
12202,3GL,330
12204,3GL,330
12305,3GL,330
12344,3GL,330
12365,4GL,61
12377,3GL,330
12410,4GL,61
12529,4GL,61
12573,3GL,330
12667,3GL,330
12684,3GL,330
12712,3GL,330
12728,3GL,330
12888,3GL,330
13137,3GL,330
13169,3GL,330
13217,3GL,330
13246,3GL,330
13273,3GL,330
13303,3GL,330
13367,3GL,330
13403,3GL,330
13597,3GL,330
13652,4GL,61
13680,3GL,330
13712,3GL,330
13795,4GL,61
13884,3GL,330
13896,3GL,330
13915,3GL,330
13981,3GL,330
14078,3GL,330
14091,4GL,61
14157,3GL,330
14228,3GL,330
14257,3GL,330
14289,3GL,330
14374,3GL,330
14410,ApG,9
14422,3GL,330
14439,ApG,9
14466,4GL,61
14483,3GL,330
14494,3GL,330
14544,3GL,330
14712,3GL,330
14715,3GL,330
14758,3GL,330
14764,3GL,330
14780,3GL,330
14879,3GL,330
14892,3GL,330
14959,4GL,61
14968,3GL,330
14972,3GL,330
15008,3GL,330
15009,3GL,330
15047,4GL,61
15123,3GL,330
15149,3GL,330
15197,3GL,330
15211,3GL,330
15240,3GL,330
15351,3GL,330
15371,3GL,330
15402,3GL,330
15409,3GL,330
15436,4GL,61
15489,3GL,330
15561,3GL,330
15593,3GL,330
15622,3GL,330
15670,3GL,330
15689,4GL,61
15724,3GL,330
15732,3GL,330
15733,3GL,330
15745,3GL,330
15823,ApG,9
15850,3GL,330
15947,3GL,330
16165,ApG,9
16185,4GL,61
16190,ApG,9
16191,3GL,330
16196,3GL,330
16232,3GL,330
16330,3GL,330
16431,3GL,330
16439,3GL,330
16466,3GL,330
16467,4GL,61
16525,3GL,330
16534,3GL,330
16645,4GL,61
16682,4GL,61
16685,3GL,330
16701,3GL,330
16766,3GL,330
16771,3GL,330
16819,3GL,330
16843,3GL,330
16875,3GL,330
16886,3GL,330
16889,3GL,330
16932,3GL,330
16963,3GL,330
16997,3GL,330
17078,3GL,330
17117,4GL,61
17172,4GL,61
17184,3GL,330
17222,3GL,330
17246,3GL,330
17279,4GL,61
17287,3GL,330
17308,3GL,330
17429,3GL,330
17455,3GL,330
17498,3GL,330
17584,3GL,330
17594,4GL,61
17603,3GL,330
17639,4GL,61
17663,3GL,330
17743,3GL,330
17758,3GL,330
17872,3GL,330
17903,3GL,330
17990,3GL,330
17995,3GL,330
18012,3GL,330
18015,3GL,330
18044,3GL,330
18088,3GL,330
18119,3GL,330
18310,3GL,330
18346,3GL,330
18361,3GL,330
18387,3GL,330
18410,3GL,330
18417,3GL,330
18427,3GL,330
18428,3GL,330
18438,3GL,330
18442,3GL,330
18459,3GL,330
18498,3GL,330
18638,3GL,330
18663,3GL,330
18697,4GL,61
18735,3GL,330
18746,3GL,330
18808,3GL,330
18890,3GL,330
18917,4GL,61
18945,3GL,330
18961,3GL,330
19040,3GL,330
19079,3GL,330
19114,3GL,330
19122,3GL,330
19136,3GL,330
19148,3GL,330
19154,3GL,330
19189,3GL,330
19297,3GL,330
19303,3GL,330
19403,3GL,330
19410,3GL,330
19456,3GL,330
19461,3GL,330
19490,3GL,330
19491,3GL,330
19594,4GL,61
19659,3GL,330
19660,3GL,330
19671,3GL,330
19680,3GL,330
19730,4GL,61
19757,3GL,330
19799,3GL,330
19815,3GL,330
19881,3GL,330
19885,3GL,330
19905,3GL,330
20082,4GL,61
20093,3GL,330
20106,3GL,330
20115,3GL,330
20123,3GL,330
20177,3GL,330
20236,3GL,330
20352,3GL,330
20398,4GL,61
20419,3GL,330
20477,3GL,330
20538,3GL,330
20614,3GL,330
20758,3GL,330
20776,3GL,330
20837,3GL,330
20887,3GL,330
20892,ApG,9
21078,4GL,61
21107,3GL,330
21114,3GL,330
21151,3GL,330
21180,3GL,330
21195,3GL,330
21198,3GL,330
21261,3GL,330
21317,3GL,330
21370,3GL,330
21394,3GL,330
21399,4GL,61
21420,3GL,330
21429,3GL,330
21433,3GL,330
21467,4GL,61
21496,3GL,330
21522,3GL,330
21552,4GL,61
21609,4GL,61
21623,3GL,330
21668,4GL,61
21775,3GL,330
21824,3GL,330
21859,4GL,61
21915,3GL,330
22063,3GL,330
22274,3GL,330
22342,3GL,330
22361,3GL,330
22425,3GL,330
22465,4GL,61
22471,3GL,330
22495,3GL,330
22507,3GL,330
22638,3GL,330
22727,ApG,9
22776,3GL,330
22886,4GL,61
22893,4GL,61
22922,3GL,330
22951,3GL,330
22957,3GL,330
23066,3GL,330
23110,3GL,330
23122,3GL,330
23182,3GL,330
23317,3GL,330
23467,3GL,330
23518,4GL,61
23538,3GL,330
23559,3GL,330
23565,3GL,330
23573,3GL,330
23656,3GL,330
23687,4GL,61
23698,3GL,330
23708,4GL,61
23712,3GL,330
23741,3GL,330
23766,3GL,330
23777,3GL,330
23784,3GL,330
23972,3GL,330
24009,3GL,330
24042,3GL,330
24043,3GL,330
24125,3GL,330
24135,3GL,330
24141,3GL,330
24151,3GL,330
24210,3GL,330
24366,3GL,330
24407,4GL,61
24457,3GL,330
24505,3GL,330
24543,3GL,330
24573,3GL,330
24615,3GL,330
24629,3GL,330
24633,3GL,330
24661,3GL,330
24851,3GL,330
24866,3GL,330
24889,3GL,330
24937,3GL,330
25053,3GL,330
25120,3GL,330
25126,4GL,61
25151,3GL,330
25158,3GL,330
25213,3GL,330
25268,3GL,330
25270,3GL,330
25310,3GL,330
25336,3GL,330
25343,3GL,330
25346,3GL,330
25438,3GL,330
25461,3GL,330
25509,3GL,330
25516,3GL,330
25543,4GL,61
25618,3GL,330
25641,4GL,61
25786,3GL,330
25885,3GL,330
25916,3GL,330
25926,3GL,330
25931,3GL,330
25975,4GL,61
25979,3GL,330
26007,3GL,330
26047,3GL,330
26096,3GL,330
26105,3GL,330
26137,3GL,330
26156,3GL,330
26187,3GL,330
26199,3GL,330
26274,3GL,330
26284,3GL,330
26290,3GL,330
26315,3GL,330
26339,ApG,9
26391,3GL,330
26457,3GL,330
26470,3GL,330
26513,3GL,330
26537,3GL,330
26575,3GL,330
26604,3GL,330
26738,3GL,330
26765,3GL,330
26888,3GL,330
26895,3GL,330
26925,3GL,330
26994,3GL,330
26997,4GL,61
27060,3GL,330
27151,3GL,330
27171,4GL,61
27245,3GL,330
27357,3GL,330
27361,3GL,330
27423,3GL,330
27574,3GL,330
27727,3GL,330
27743,3GL,330
27745,3GL,330
27858,3GL,330
