pryidprglng,prglng2,conteo2prglng
10003,Java,177
10019,Shell,5
10104,Oracle,12
10267,"Amdocs framework",8
10388,ASP.Net,3
10496,Java,177
10566,SQL,7
10621,RPG,1
10632,Java,177
10649,Oracle,12
10667,"Amdocs framework",8
10750,Java,177
10896,Mixed,5
10929,Java,177
10960,Java,177
10997,COBOL,34
11044,COBOL,34
11055,C#,10
11083,ABAP,3
11101,"Visual C++",1
11113,ColdFusion,1
11132,Java,177
11251,C#,10
11339,Java,177
11389,Groovy,1
11436,C,13
11493,Java,177
11527,Shell,5
11569,ABAP,3
11714,TELON,2
11755,ABAP,3
11763,PL/SQL,19
11785,Shell,5
11993,Java,177
12019,Java,177
12038,Java,177
12060,DELPHI,2
12082,EASYTRIEVE,1
12097,Java,177
12146,PowerBuilder,3
12152,Java,177
12153,DELPHI,2
12174,"Visual Basic",19
12175,Java,177
12181,Java,177
12202,C,13
12204,"Visual Basic",19
12305,Java,177
12344,TIBCO,6
12365,Oracle,12
12377,PL/I,16
12410,SQL,7
12529,Oracle,12
12573,PL/SQL,19
12667,C++,11
12684,Java,177
12712,Java,177
12728,Java,177
12888,PL/SQL,19
13137,Java,177
13169,Java,177
13217,JavaScript,1
13246,COBOL,34
13273,Java,177
13303,"Visual Basic",19
13367,C++,11
13403,C++,11
13597,APPS,1
13652,"Amdocs framework",8
13680,C,13
13712,Java,177
13795,Oracle,12
13884,Java,177
13896,PL/SQL,19
13915,Java,177
13981,"Visual Basic",19
14078,Java,177
14091,"Amdocs framework",8
14157,COBOL,34
14228,COBOL,34
14257,PL/I,16
14289,C#,10
14374,PL/I,16
14410,COOL:Gen,7
14422,Java,177
14439,COOL:Gen,7
14466,NATURAL,4
14483,PL/SQL,19
14494,Java,177
14544,Java,177
14712,"Visual Basic",19
14715,Java,177
14758,"Visual Basic",19
14764,COBOL,34
14780,Java,177
14879,Java,177
14892,Java,177
14959,"Amdocs framework",8
14968,Java,177
14972,COBOL,34
15008,Java,177
15009,Java,177
15047,PowerBuilder,3
15123,Java,177
15149,Java,177
15197,C#,10
15211,Java,177
15240,PL/I,16
15351,C,13
15371,Java,177
15402,"Visual Basic",19
15409,Java,177
15436,.Net,4
15489,TIBCO,6
15561,"Shell, C",2
15593,Java,177
15622,Java,177
15670,PL/SQL,19
15689,"Amdocs framework",8
15724,Java,177
15732,Java,177
15733,Java,177
15745,Java,177
15823,COOL:Gen,7
15850,Java,177
15947,Java,177
16165,COOL:Gen,7
16185,Oracle,12
16190,COOL:Gen,7
16191,Java,177
16196,COBOL,34
16232,Java,177
16330,Mixed,5
16431,Java,177
16439,Java,177
16466,"Visual Basic",19
16467,SQL,7
16525,C++,11
16534,Java,177
16645,Oracle,12
16682,SQL,7
16685,C++,11
16701,PL/I,16
16766,Java,177
16771,C++,11
16819,Java,177
16843,Unknown,2
16875,COBOL,34
16886,Java,177
16889,Java,177
16932,Java,177
16963,"Visual Basic",19
16997,COBOL,34
17078,Shell,5
17117,NATURAL,4
17172,"Visual Fox",1
17184,C#,10
17222,Java,177
17246,COBOL,34
17279,"html / jsp",1
17287,COBOL,34
17308,Java,177
17429,Java,177
17455,Java,177
17498,Java,177
17584,Java,177
17594,SQL,7
17603,Java,177
17639,Oracle,12
17663,COBOL,34
17743,COBOL,34
17758,C++,11
17872,COBOL,34
17903,Java,177
17990,Java,177
17995,Java,177
18012,Mixed,5
18015,LISP,1
18044,Java,177
18088,Java,177
18119,C#,10
18310,Java,177
18346,Java,177
18361,Java,177
18387,TIBCO,6
18410,COBOL,34
18417,Java,177
18427,Java,177
18428,Java,177
18438,PL/I,16
18442,"Unix Shell",3
18459,Java,177
18498,Java,177
18638,COBOL,34
18663,Java,177
18697,"Amdocs framework",8
18735,PL/SQL,19
18746,C#,10
18808,"Visual Basic",19
18890,Java,177
18917,ASP.Net,3
18945,"Shell, C",2
18961,Java,177
19040,Java,177
19079,Java,177
19114,C#,10
19122,TIBCO,6
19136,Java,177
19148,C,13
19154,COBOL,34
19189,Java,177
19297,Java,177
19303,C,13
19403,Java,177
19410,PL/I,16
19456,"Visual Basic",19
19461,Java,177
19490,C++,11
19491,C,13
19594,Oracle,12
19659,Java,177
19660,"Unix Shell",3
19671,COBOL,34
19680,C,13
19730,ASP,1
19757,Java,177
19799,Java,177
19815,PL/I,16
19881,COBOL,34
19885,Java,177
19905,C,13
20082,.Net,4
20093,PL/I,16
20106,COBOL,34
20115,Java,177
20123,Java,177
20177,LEX,1
20236,Java,177
20352,Java,177
20398,Oracle,12
20419,Java,177
20477,"Visual Basic",19
20538,Java,177
20614,Java,177
20758,Java,177
20776,Java,177
20837,C,13
20887,Java,177
20892,COOL:Gen,7
21078,Oracle,12
21107,PL/I,16
21114,Java,177
21151,Java,177
21180,"Visual Basic",19
21195,Java,177
21198,PYTHON,1
21261,COBOL,34
21317,Java,177
21370,Java,177
21394,Java,177
21399,NATURAL,4
21420,"Visual Basic",19
21429,Java,177
21433,PL/SQL,19
21467,"Amdocs framework",8
21496,PL/I,16
21522,Java,177
21552,.Net,4
21609,Java,177
21623,PL/SQL,19
21668,PowerBuilder,3
21775,Java,177
21824,Java,177
21859,NATURAL,4
21915,PL/I,16
22063,PL/I,16
22274,PL/I,16
22342,Java,177
22361,COBOL,34
22425,Java,177
22465,"Lotus Notes",2
22471,"Visual Basic",19
22495,TIBCO,6
22507,COBOL,34
22638,"Unix Shell",3
22727,COOL:Gen,7
22776,Java,177
22886,Java,177
22893,Java,177
22922,Java,177
22951,Java,177
22957,BPM,1
23066,MAPPER,1
23110,Shell,5
23122,Java,177
23182,ClearBasic,2
23317,"Visual Basic",19
23467,Java,177
23518,Java,177
23538,Java,177
23559,Java,177
23565,Java,177
23573,Java,177
23656,Java,177
23687,Datastage,1
23698,C++,11
23708,Oracle,12
23712,C,13
23741,Java,177
23766,Mixed,5
23777,Java,177
23784,Java,177
23972,Java,177
24009,COBOL,34
24042,Java,177
24043,Java,177
24125,COBOL,34
24135,Java,177
24141,PL/SQL,19
24151,Java,177
24210,PL/SQL,19
24366,COBOL,34
24407,"Lotus Notes",2
24457,Java,177
24505,PL/SQL,19
24543,Java,177
24573,TIBCO,6
24615,Java,177
24629,COBOL,34
24633,Java,177
24661,Mixed,5
24851,Java,177
24866,Java,177
24889,Java,177
24937,COBOL,34
25053,Java,177
25120,PL/I,16
25126,.Net,4
25151,Java,177
25158,Java,177
25213,Java,177
25268,Java,177
25270,PASCAL,1
25310,Java,177
25336,C,13
25343,C,13
25346,Java,177
25438,ClearBasic,2
25461,Java,177
25509,Java,177
25516,PL/SQL,19
25543,ASP.Net,3
25618,C#,10
25641,SQL,7
25786,Java,177
25885,PL/I,16
25916,C++,11
25926,COBOL,34
25931,Java,177
25975,SQL,7
25979,Java,177
26007,Java,177
26047,Java,177
26096,COBOL,34
26105,Java,177
26137,Java,177
26156,C#,10
26187,"Visual Basic",19
26199,Java,177
26274,Java,177
26284,COBOL,34
26290,Java,177
26315,Java,177
26339,TELON,2
26391,PL/SQL,19
26457,Java,177
26470,"Visual Basic",19
26513,"Visual Basic",19
26537,COBOL,34
26575,PL/SQL,19
26604,Java,177
26738,Java,177
26765,Java,177
26888,PL/SQL,19
26895,C++,11
26925,Java,177
26994,COBOL,34
26997,XML,1
27060,Java,177
27151,PL/SQL,19
27171,Java,177
27245,Java,177
27357,Java,177
27361,Unknown,2
27423,PL/SQL,19
27574,Java,177
27727,PERIPHONICS,1
27743,Java,177
27745,Java,177
27858,PL/SQL,19
