pryid,prglng1,fncsze,loc,Language,Avg,Median,Low,High
10003,Java,67,3551,Java,53,53,14,134
10019,Shell,98,9506,Shell,97,99,39,333
10104,Oracle,7,259,Oracle,37,40,17,60
10267,"Amdocs framework",107,2247,"Amdocs framework",21,21,13,37
10388,ASP.Net,139,6533,ASP.Net,47,53,31,63
10496,Java,47,2491,Java,53,53,14,134
10566,SQL,359,7539,SQL,21,21,13,37
10621,RPG,255,13515,RPG,53,53,14,134
10632,Java,185,9805,Java,53,53,14,134
10649,Oracle,113,4181,Oracle,37,40,17,60
10667,"Amdocs framework",56,1176,"Amdocs framework",21,21,13,37
10750,Java,16,848,Java,53,53,14,134
10896,Mixed,95,5035,MIXED,53,53,14,134
10929,Java,40,2120,Java,53,53,14,134
10960,Java,107,5671,Java,53,53,14,134
10997,COBOL,200,12200,COBOL,61,55,23,297
11044,COBOL,170,10370,COBOL,61,55,23,297
11055,C#,81,4374,C#,54,59,29,70
11083,ABAP,228,6384,ABAP,28,18,16,60
11101,"Visual C++",78,8200,"Visual C++",42,44,20,60
11113,ColdFusion,579,30108,ColdFusion,52,60,26,60
11132,Java,58,3074,Java,53,53,14,134
11251,C#,733,39582,C#,54,59,29,70
11339,Java,156,8268,Java,53,53,14,134
11389,Groovy,630,33390,Groovy,53,53,14,134
11436,C,599,58103,C,97,99,39,333
11493,Java,10,530,Java,53,53,14,134
11527,Shell,151,14647,Shell,97,99,39,333
11569,ABAP,64,1792,ABAP,28,18,16,60
11714,TELON,109,5777,TELON,53,53,14,134
11755,ABAP,62,1736,ABAP,28,18,16,60
11763,PL/SQL,164,6068,PL/SQL,37,35,13,60
11785,Shell,362,35114,Shell,97,99,39,333
11993,Java,64,3392,Java,53,53,14,134
12019,Java,22,1166,Java,53,53,14,134
12038,Java,19,1007,Java,53,53,14,134
12060,DELPHI,1083,57399,Delphi,53,53,14,134
12082,EASYTRIEVE,782,41446,EASYTRIEVE,53,53,14,134
12097,Java,54,2862,Java,53,53,14,134
12146,PowerBuilder,696,18096,Powerbuilder,26,28,7,40
12152,Java,27,1431,Java,53,53,14,134
12153,DELPHI,24,1272,Delphi,53,53,14,134
12174,"Visual Basic",181,7602,"Visual Basic",42,44,20,60
12175,Java,176,9328,Java,53,53,14,134
12181,Java,6,318,Java,53,53,14,134
12202,C,116,11252,C,97,99,39,333
12204,"Visual Basic",703,29526,"Visual Basic",42,44,20,60
12305,Java,100,5300,Java,53,53,14,134
12344,TIBCO,126,6804,TIBCO,54,59,29,70
12365,Oracle,322,11914,Oracle,37,40,17,60
12377,PL/I,14,896,PL/I,64,80,16,80
12410,SQL,173,3633,SQL,21,21,13,37
12529,Oracle,103,3811,Oracle,37,40,17,60
12573,PL/SQL,1216,44992,PL/SQL,37,35,13,60
12667,C++,1307,65350,C++,50,53,25,80
12684,Java,66,3498,Java,53,53,14,134
12712,Java,86,4558,Java,53,53,14,134
12728,Java,641,33973,Java,53,53,14,134
12888,PL/SQL,186,6882,PL/SQL,37,35,13,60
13137,Java,193,10229,Java,53,53,14,134
13169,Java,1433,75949,Java,53,53,14,134
13217,JavaScript,1198,56306,JavaScript,47,53,31,63
13246,COBOL,227,13847,COBOL,61,55,23,297
13273,Java,54,2862,Java,53,53,14,134
13303,"Visual Basic",92,3864,"Visual Basic",42,44,20,60
13367,C++,88,4400,C++,50,53,25,80
13403,C++,184,9200,C++,50,53,25,80
13597,APPS,1220,64660,Apps,53,53,14,134
13652,"Amdocs framework",77,1617,"Amdocs framework",21,21,13,37
13680,C,89,8633,C,97,99,39,333
13712,Java,39,2067,Java,53,53,14,134
13795,Oracle,63,2331,Oracle,37,40,17,60
13884,Java,26,1378,Java,53,53,14,134
13896,PL/SQL,50,1850,PL/SQL,37,35,13,60
13915,Java,123,6519,Java,53,53,14,134
13981,"Visual Basic",895,37590,"Visual Basic",42,44,20,60
14078,Java,53,2809,Java,53,53,14,134
14091,"Amdocs framework",52,1092,"Amdocs framework",21,21,13,37
14157,COBOL,396,24156,COBOL,61,55,23,297
14228,COBOL,81,4941,COBOL,61,55,23,297
14257,PL/I,100,6400,PL/I,64,80,16,80
14289,C#,154,8316,C#,54,59,29,70
14374,PL/I,192,12288,PL/I,64,80,16,80
14410,COOL:Gen,272,8704,Cool:Gen,32,24,10,82
14422,Java,2043,108279,Java,53,53,14,134
14439,COOL:Gen,57,1824,Cool:Gen,32,24,10,82
14466,NATURAL,84,3360,Natural,40,34,34,53
14483,PL/SQL,67,2479,PL/SQL,37,35,13,60
14494,Java,18,954,Java,53,53,14,134
14544,Java,4,212,Java,53,53,14,134
14712,"Visual Basic",385,16170,"Visual Basic",42,44,20,60
14715,Java,62,3286,Java,53,53,14,134
14758,"Visual Basic",97,4074,"Visual Basic",42,44,20,60
14764,COBOL,57,3477,COBOL,61,55,23,297
14780,Java,108,5724,Java,53,53,14,134
14879,Java,271,14363,Java,53,53,14,134
14892,Java,195,10335,Java,53,53,14,134
14959,"Amdocs framework",59,1239,"Amdocs framework",21,21,13,37
14968,Java,21,1113,Java,53,53,14,134
14972,COBOL,236,14396,COBOL,61,55,23,297
15008,Java,116,6148,Java,53,53,14,134
15009,Java,14,742,Java,53,53,14,134
15047,PowerBuilder,60,1560,Powerbuilder,26,28,7,40
15123,Java,775,41075,Java,53,53,14,134
15149,Java,167,8851,Java,53,53,14,134
15197,C#,253,13662,C#,54,59,29,70
15211,Java,146,7738,Java,53,53,14,134
15240,PL/I,228,14592,PL/I,64,80,16,80
15351,C,468,45396,C,97,99,39,333
15371,Java,372,19716,Java,53,53,14,134
15402,"Visual Basic",224,33500,"Visual Basic",42,44,20,60
15409,Java,132,6996,Java,53,53,14,134
15436,.Net,95,5415,.NET,57,60,53,60
15489,TIBCO,72,3888,TIBCO,54,59,29,70
15561,"Shell, C",112,10864,"Shell, C",97,99,39,333
15593,Java,163,8639,Java,53,53,14,134
15622,Java,114,6042,Java,53,53,14,134
15670,PL/SQL,56,2072,PL/SQL,37,35,13,60
15689,"Amdocs framework",135,2835,"Amdocs framework",21,21,13,37
15724,Java,77,4081,Java,53,53,14,134
15732,Java,212,11236,Java,53,53,14,134
15733,Java,87,4611,Java,53,53,14,134
15745,Java,76,4028,Java,53,53,14,134
15823,COOL:Gen,251,8032,Cool:Gen,32,24,10,82
15850,Java,4,212,Java,53,53,14,134
15947,Java,7,371,Java,53,53,14,134
16165,COOL:Gen,155,4960,Cool:Gen,32,24,10,82
16185,Oracle,89,3293,Oracle,37,40,17,60
16190,COOL:Gen,53,1696,Cool:Gen,32,24,10,82
16191,Java,105,5565,Java,53,53,14,134
16196,COBOL,57,3477,COBOL,61,55,23,297
16232,Java,759,40227,Java,53,53,14,134
16330,Mixed,56,2968,MIXED,53,53,14,134
16431,Java,72,3816,Java,53,53,14,134
16439,Java,10,530,Java,53,53,14,134
16466,"Visual Basic",245,10290,"Visual Basic",42,44,20,60
16467,SQL,693,146000,SQL,21,21,13,37
16525,C++,283,14150,C++,50,53,25,80
16534,Java,107,5671,Java,53,53,14,134
16645,Oracle,222,8214,Oracle,37,40,17,60
16682,SQL,169,3549,SQL,21,21,13,37
16685,C++,1317,65850,C++,50,53,25,80
16701,PL/I,30,1920,PL/I,64,80,16,80
16766,Java,57,3021,Java,53,53,14,134
16771,C++,137,6850,C++,50,53,25,80
16819,Java,121,6413,Java,53,53,14,134
16843,Unknown,333,32301,Unknown,97,99,39,333
16875,COBOL,37,2257,COBOL,61,55,23,297
16886,Java,88,4664,Java,53,53,14,134
16889,Java,177,9381,Java,53,53,14,134
16932,Java,188,9964,Java,53,53,14,134
16963,"Visual Basic",87,3654,"Visual Basic",42,44,20,60
16997,COBOL,151,9211,COBOL,61,55,23,297
17078,Shell,100,9700,Shell,97,99,39,333
17117,NATURAL,86,3440,Natural,40,34,34,53
17172,"Visual Fox",138,2898,"Visual Fox",21,21,13,37
17184,C#,331,17874,C#,54,59,29,70
17222,Java,50,2650,Java,53,53,14,134
17246,COBOL,27,1647,COBOL,61,55,23,297
17279,"html / jsp",70,2380,"HTML / JSP",34,40,14,48
17287,COBOL,154,9394,COBOL,61,55,23,297
17308,Java,4,212,Java,53,53,14,134
17429,Java,19,1007,Java,53,53,14,134
17455,Java,366,19398,Java,53,53,14,134
17498,Java,49,2597,Java,53,53,14,134
17584,Java,25,1325,Java,53,53,14,134
17594,SQL,497,10437,SQL,21,21,13,37
17603,Java,12,636,Java,53,53,14,134
17639,Oracle,115,4255,Oracle,37,40,17,60
17663,COBOL,763,46543,COBOL,61,55,23,297
17743,COBOL,73,4453,COBOL,61,55,23,297
17758,C++,144,7200,C++,50,53,25,80
17872,COBOL,467,28487,COBOL,61,55,23,297
17903,Java,1557,82521,Java,53,53,14,134
17990,Java,85,4505,Java,53,53,14,134
17995,Java,100,5300,Java,53,53,14,134
18012,Mixed,93,4929,MIXED,53,53,14,134
18015,LISP,66,5000,LISP,61,55,23,297
18044,Java,425,22525,Java,53,53,14,134
18088,Java,337,17861,Java,53,53,14,134
18119,C#,109,5886,C#,54,59,29,70
18310,Java,58,3074,Java,53,53,14,134
18346,Java,25,1325,Java,53,53,14,134
18361,Java,8,424,Java,53,53,14,134
18387,TIBCO,106,5724,TIBCO,54,59,29,70
18410,COBOL,103,6283,COBOL,61,55,23,297
18417,Java,142,7526,Java,53,53,14,134
18427,Java,288,15264,Java,53,53,14,134
18428,Java,151,8003,Java,53,53,14,134
18438,PL/I,207,13248,PL/I,64,80,16,80
18442,"Unix Shell",122,11834,"Unix Shell",97,99,39,333
18459,Java,58,3074,Java,53,53,14,134
18498,Java,64,3392,Java,53,53,14,134
18638,COBOL,477,29097,COBOL,61,55,23,297
18663,Java,92,4876,Java,53,53,14,134
18697,"Amdocs framework",106,2226,"Amdocs framework",21,21,13,37
18735,PL/SQL,67,2479,PL/SQL,37,35,13,60
18746,C#,337,18198,C#,54,59,29,70
18808,"Visual Basic",91,3822,"Visual Basic",42,44,20,60
18890,Java,87,4611,Java,53,53,14,134
18917,ASP.Net,59,2773,ASP.Net,47,53,31,63
18945,"Shell, C",88,8536,"Shell, C",97,99,39,333
18961,Java,56,2968,Java,53,53,14,134
19040,Java,14,742,Java,53,53,14,134
19079,Java,63,3339,Java,53,53,14,134
19114,C#,392,21168,C#,54,59,29,70
19122,TIBCO,52,2808,TIBCO,54,59,29,70
19136,Java,12,636,Java,53,53,14,134
19148,C,300,2000,C,97,99,39,333
19154,COBOL,6,366,COBOL,61,55,23,297
19189,Java,73,3869,Java,53,53,14,134
19297,Java,195,10335,Java,53,53,14,134
19303,C,86,8342,C,97,99,39,333
19403,Java,12,636,Java,53,53,14,134
19410,PL/I,255,16320,PL/I,64,80,16,80
19456,"Visual Basic",638,26796,"Visual Basic",42,44,20,60
19461,Java,35,1855,Java,53,53,14,134
19490,C++,121,6050,C++,50,53,25,80
19491,C,263,6400,C,97,99,39,333
19594,Oracle,62,2294,Oracle,37,40,17,60
19659,Java,61,3233,Java,53,53,14,134
19660,"Unix Shell",97,9409,"Unix Shell",97,99,39,333
19671,COBOL,98,5978,COBOL,61,55,23,297
19680,C,119,11543,C,97,99,39,333
19730,ASP,795,40545,ASP,51,54,15,69
19757,Java,127,6731,Java,53,53,14,134
19799,Java,70,3710,Java,53,53,14,134
19815,PL/I,125,8000,PL/I,64,80,16,80
19881,COBOL,64,3904,COBOL,61,55,23,297
19885,Java,36,1908,Java,53,53,14,134
19905,C,29,2813,C,97,99,39,333
20082,.Net,245,13965,.NET,57,60,53,60
20093,PL/I,1062,412409,PL/I,64,80,16,80
20106,COBOL,32,1952,COBOL,61,55,23,297
20115,Java,54,2862,Java,53,53,14,134
20123,Java,84,4452,Java,53,53,14,134
20177,LEX,80,7760,LEX,97,99,39,333
20236,Java,83,4399,Java,53,53,14,134
20352,Java,34,1802,Java,53,53,14,134
20398,Oracle,51,1887,Oracle,37,40,17,60
20419,Java,167,8851,Java,53,53,14,134
20477,"Visual Basic",177,7434,"Visual Basic",42,44,20,60
20538,Java,4,212,Java,53,53,14,134
20614,Java,650,34450,Java,53,53,14,134
20758,Java,113,5989,Java,53,53,14,134
20776,Java,51,2703,Java,53,53,14,134
20837,C,79,3200,C,97,99,39,333
20887,Java,34,1802,Java,53,53,14,134
20892,COOL:Gen,221,7072,Cool:Gen,32,24,10,82
21078,Oracle,107,3959,Oracle,37,40,17,60
21107,PL/I,335,21440,PL/I,64,80,16,80
21114,Java,33,1749,Java,53,53,14,134
21151,Java,213,11289,Java,53,53,14,134
21180,"Visual Basic",235,9870,"Visual Basic",42,44,20,60
21195,Java,130,6890,Java,53,53,14,134
21198,PYTHON,82,4346,PYTHON,53,53,14,134
21261,COBOL,150,9150,COBOL,61,55,23,297
21317,Java,67,3551,Java,53,53,14,134
21370,Java,70,3710,Java,53,53,14,134
21394,Java,51,2703,Java,53,53,14,134
21399,NATURAL,82,3280,Natural,40,34,34,53
21420,"Visual Basic",314,10000,"Visual Basic",42,44,20,60
21429,Java,55,2915,Java,53,53,14,134
21433,PL/SQL,59,2183,PL/SQL,37,35,13,60
21467,"Amdocs framework",106,2226,"Amdocs framework",21,21,13,37
21496,PL/I,34,2176,PL/I,64,80,16,80
21522,Java,133,7049,Java,53,53,14,134
21552,.Net,154,8778,.NET,57,60,53,60
21609,Java,12,636,Java,53,53,14,134
21623,PL/SQL,228,8436,PL/SQL,37,35,13,60
21668,PowerBuilder,281,7306,Powerbuilder,26,28,7,40
21775,Java,141,7473,Java,53,53,14,134
21824,Java,54,2862,Java,53,53,14,134
21859,NATURAL,98,3920,Natural,40,34,34,53
21915,PL/I,383,24512,PL/I,64,80,16,80
22063,PL/I,124,7936,PL/I,64,80,16,80
22274,PL/I,234,14976,PL/I,64,80,16,80
22342,Java,113,5989,Java,53,53,14,134
22361,COBOL,214,13054,COBOL,61,55,23,297
22425,Java,29,1537,Java,53,53,14,134
22465,"Lotus Notes",264,6072,"Lotus Notes",23,21,19,40
22471,"Visual Basic",167,7014,"Visual Basic",42,44,20,60
22495,TIBCO,308,16632,TIBCO,54,59,29,70
22507,COBOL,499,30439,COBOL,61,55,23,297
22638,"Unix Shell",92,8924,"Unix Shell",97,99,39,333
22727,COOL:Gen,339,10848,Cool:Gen,32,24,10,82
22776,Java,53,2809,Java,53,53,14,134
22886,Java,110,5830,Java,53,53,14,134
22893,Java,133,7049,Java,53,53,14,134
22922,Java,27,1431,Java,53,53,14,134
22951,Java,112,5936,Java,53,53,14,134
22957,BPM,63,2142,BPM,34,40,14,48
23066,MAPPER,44,9196,MAPPER,209,191,131,315
23110,Shell,52,5044,Shell,97,99,39,333
23122,Java,67,3551,Java,53,53,14,134
23182,ClearBasic,144,6048,ClearBasic,42,44,20,60
23317,"Visual Basic",32,1344,"Visual Basic",42,44,20,60
23467,Java,7,371,Java,53,53,14,134
23518,Java,25,1325,Java,53,53,14,134
23538,Java,30,1590,Java,53,53,14,134
23559,Java,7400,392200,Java,53,53,14,134
23565,Java,87,4611,Java,53,53,14,134
23573,Java,1238,65614,Java,53,53,14,134
23656,Java,68,3604,Java,53,53,14,134
23687,Datastage,647,45937,Datastage,71,65,31,157
23698,C++,515,25750,C++,50,53,25,80
23708,Oracle,75,2775,Oracle,37,40,17,60
23712,C,187,18139,C,97,99,39,333
23741,Java,16,848,Java,53,53,14,134
23766,Mixed,139,7367,MIXED,53,53,14,134
23777,Java,62,3286,Java,53,53,14,134
23784,Java,19,1007,Java,53,53,14,134
23972,Java,6,318,Java,53,53,14,134
24009,COBOL,102,6222,COBOL,61,55,23,297
24042,Java,159,8427,Java,53,53,14,134
24043,Java,267,14151,Java,53,53,14,134
24125,COBOL,149,9089,COBOL,61,55,23,297
24135,Java,124,6572,Java,53,53,14,134
24141,PL/SQL,87,3219,PL/SQL,37,35,13,60
24151,Java,89,4717,Java,53,53,14,134
24210,PL/SQL,159,5883,PL/SQL,37,35,13,60
24366,COBOL,138,8418,COBOL,61,55,23,297
24407,"Lotus Notes",639,14697,"Lotus Notes",23,21,19,40
24457,Java,66,3498,Java,53,53,14,134
24505,PL/SQL,66,2442,PL/SQL,37,35,13,60
24543,Java,54,2862,Java,53,53,14,134
24573,TIBCO,52,2808,TIBCO,54,59,29,70
24615,Java,8,424,Java,53,53,14,134
24629,COBOL,4,244,COBOL,61,55,23,297
24633,Java,58,3074,Java,53,53,14,134
24661,Mixed,186,9858,MIXED,53,53,14,134
24851,Java,2456,130168,Java,53,53,14,134
24866,Java,146,7738,Java,53,53,14,134
24889,Java,7,371,Java,53,53,14,134
24937,COBOL,434,26474,COBOL,61,55,23,297
25053,Java,54,2862,Java,53,53,14,134
25120,PL/I,148,9472,PL/I,64,80,16,80
25126,.Net,3383,192831,.NET,57,60,53,60
25151,Java,76,4028,Java,53,53,14,134
25158,Java,84,4452,Java,53,53,14,134
25213,Java,165,8745,Java,53,53,14,134
25268,Java,141,7473,Java,53,53,14,134
25270,PASCAL,403,22000,PASCAL,53,53,14,134
25310,Java,256,13568,Java,53,53,14,134
25336,C,389,37733,C,97,99,39,333
25343,C,476,46172,C,97,99,39,333
25346,Java,13,689,Java,53,53,14,134
25438,ClearBasic,135,5670,ClearBasic,42,44,20,60
25461,Java,17,901,Java,53,53,14,134
25509,Java,256,13568,Java,53,53,14,134
25516,PL/SQL,65,2405,PL/SQL,37,35,13,60
25543,ASP.Net,287,13489,ASP.Net,47,53,31,63
25618,C#,298,16092,C#,54,59,29,70
25641,SQL,776,16296,SQL,21,21,13,37
25786,Java,537,28461,Java,53,53,14,134
25885,PL/I,36,2304,PL/I,64,80,16,80
25916,C++,657,32850,C++,50,53,25,80
25926,COBOL,601,36661,COBOL,61,55,23,297
25931,Java,70,3000,Java,53,53,14,134
25975,SQL,605,12705,SQL,21,21,13,37
25979,Java,1148,60844,Java,53,53,14,134
26007,Java,547,28991,Java,53,53,14,134
26047,Java,79,4187,Java,53,53,14,134
26096,COBOL,90,5490,COBOL,61,55,23,297
26105,Java,57,3021,Java,53,53,14,134
26137,Java,91,4823,Java,53,53,14,134
26156,C#,313,16902,C#,54,59,29,70
26187,"Visual Basic",82,3444,"Visual Basic",42,44,20,60
26199,Java,17,901,Java,53,53,14,134
26274,Java,116,6148,Java,53,53,14,134
26284,COBOL,143,8723,COBOL,61,55,23,297
26290,Java,35,1855,Java,53,53,14,134
26315,Java,203,10759,Java,53,53,14,134
26339,TELON,511,27083,TELON,53,53,14,134
26391,PL/SQL,105,3885,PL/SQL,37,35,13,60
26457,Java,128,6784,Java,53,53,14,134
26470,"Visual Basic",236,9912,"Visual Basic",42,44,20,60
26513,"Visual Basic",89,3738,"Visual Basic",42,44,20,60
26537,COBOL,374,22814,COBOL,61,55,23,297
26575,PL/SQL,57,2109,PL/SQL,37,35,13,60
26604,Java,23,1219,Java,53,53,14,134
26738,Java,28,1484,Java,53,53,14,134
26765,Java,475,25175,Java,53,53,14,134
26888,PL/SQL,72,2664,PL/SQL,37,35,13,60
26895,C++,29,1450,C++,50,53,25,80
26925,Java,7,371,Java,53,53,14,134
26994,COBOL,26,1586,COBOL,61,55,23,297
26997,XML,169,5746,XML,34,40,14,48
27060,Java,2906,154018,Java,53,53,14,134
27151,PL/SQL,324,11988,PL/SQL,37,35,13,60
27171,Java,38,2014,Java,53,53,14,134
27245,Java,36,1908,Java,53,53,14,134
27357,Java,796,42188,Java,53,53,14,134
27361,Unknown,420,40740,Unknown,97,99,39,333
27423,PL/SQL,50,1850,PL/SQL,37,35,13,60
27574,Java,503,26659,Java,53,53,14,134
27727,PERIPHONICS,128,12416,PERIPHONICS,97,99,39,333
27743,Java,12,636,Java,53,53,14,134
27745,Java,50,2650,Java,53,53,14,134
27858,PL/SQL,180,6660,PL/SQL,37,35,13,60
